PM2.5 (µg/m³),PM10 (µg/m³),NO2 (µg/m³),NH3 (µg/m³),SO2 (µg/m³),CO (mg/m³),Ozone (µg/m³),AQI
37.94,70.26,1.22,2.03,23.79,0.36,1.91,63
39.02,72.27,1.19,1.99,23.26,0.17,2.59,73
,,1.28,2.08,22.28,0.24,2.99,69
40.59,75.16,1.2,2.12,23.37,0.25,2.91,86
33.41,61.87,1.2,1.94,23.43,0.15,3.53,83
35.63,65.97,1.23,2.14,23.61,0.32,3.52,86
39.47,73.09,1.18,2.15,23.78,0.36,3.02,90
25.29,46.83,1.24,2.03,23.65,0.23,2.49,130
14.16,26.22,1.21,1.89,23.51,0.24,1.56,34
24.49,45.34,12.3,1.79,24.99,0.46,1.44,33
22.63,41.91,1.22,1.92,23.68,0.32,1.24,48
20.22,37.46,6.08,1.82,23.66,0.23,1.7,36
24.27,44.95,1.26,1.81,23.59,0.25,1.91,48
32.23,59.69,1.29,1.85,23.68,0.17,3.08,52
49.59,91.83,1.24,1.94,23.46,0.17,4.16,94
59.14,109.5,16.51,2.1,23.84,0.35,4.41,111
55.33,102.46,1.37,2.26,23.61,0.42,3.26,119
62.08,114.97,1.22,2.57,23.42,0.63,2.67,94
44.99,83.31,1.24,2.1,23.41,0.53,2.25,106
40.49,74.99,1.2,2.32,23.36,0.44,2.58,68
51.96,96.22,1.23,2.44,23.53,0.56,2.31,102
47.09,87.21,1.2,2.04,23.72,0.27,3.55,101
42.8,79.25,1.19,2,23.45,0.21,4.11,89
63.71,117.98,1.23,2.03,23.37,0.37,4.95,98
33.01,53.75,1.16,2.18,23.42,0.43,3.78,86
16.64,22.19,1.19,2.16,23.3,0.41,4.56,58
22.03,29.37,1.22,2.53,23.47,0.6,3.9,74
24.93,32.03,1.19,2.54,23.32,0.4,3.89,54
58.54,73.17,1.24,2.93,23.51,0.65,4.31,92
46.72,58.4,1.2,2.98,23.45,0.62,3.43,78
51.51,64.38,19.61,3.2,22.91,0.67,3.43,71
52.69,65.87,1.33,2.88,22.45,0.57,5.15,73
58.85,73.56,1.25,2.72,23.18,0.57,5.94,85
45.68,57.09,1.24,2.56,23.98,0.52,4.09,74
49.12,61.4,1.2,2.62,24.88,0.58,3.14,81
49.8,62.25,1.12,2.84,30.77,0.67,0.98,86
37.14,46.42,1.29,2.52,22.91,0.55,1.58,77
18.13,22.67,1.22,1.97,24.62,0.22,1.38,34
24.72,30.91,1.04,1.91,37.49,0.3,0.68,39
22.25,27.81,72.13,1.85,40.43,0.33,0.7,35
