PM2.5 (µg/m³),PM10 (µg/m³),NO (µg/m³),NO2 (µg/m³),NOx (ppb),NH3 (µg/m³),SO2 (µg/m³),CO (mg/m³),Ozone (µg/m³),Benzene (µg/m³),AQI
25.54,34.94,1.94,1.2,3.97,2.1,24.04,0.15,7.64,0.03,48
17.23,23.57,1.92,1.2,3.92,2.19,22.97,0.16,6.59,0.03,35
16.69,22.84,1.91,1.18,3.9,2.39,22.75,0.29,7.88,0.06,30
14.27,19.53,1.91,1.17,3.89,2.42,22.38,0.29,9.52,0.06,29
18.36,25.12,1.92,1.18,3.91,2.45,22.62,0.36,6.92,0.07,32
16.82,23.02,1.9,1.22,3.91,2.22,23.1,0.34,8.25,0.07,34
19.32,26.43,1.94,1.2,3.95,2.54,22.86,0.44,7.4,0.09,37
19.26,26.35,1.92,1.23,3.97,2.35,22.6,0.4,7.68,0.08,38
16.22,22.17,5.16,2.81,9.52,2.18,24.1,0.38,4.54,0.08,31
14.24,19.49,3.08,2.77,6.82,2.24,23.54,0.42,2.64,0.08,32
15.62,21.37,1.95,1.27,4.04,2.3,22.93,0.42,4.81,0.09,33
12.61,17.26,1.96,1.25,4.03,2.27,23.59,0.34,4.59,0.07,35
9,12.32,1.93,1.19,3.92,2.05,23.29,0.27,2.55,0.06,30
7.29,9.97,1.88,1.2,3.87,2.01,23.74,0.23,2.08,0.04,30
9.15,12.53,1.93,1.3,4.05,2.02,22.95,0.25,1.79,0.05,31
8.73,11.95,1.95,1.22,3.99,2.06,22.96,0.38,1.82,0.08,31
11.08,15.17,1.91,1.26,3.98,2.04,23.2,0.44,2.5,0.09,31
6.9,9.44,1.95,1.22,3.98,1.92,23.32,0.3,2.13,0.06,34
8.58,11.74,1.89,1.21,3.82,2.07,23.66,0.44,2.51,0.09,34
8.07,11.05,2.57,1.52,5.08,2.08,23.33,0.39,1.55,0.08,33
16.16,22.12,1.94,1.21,3.96,2.21,23.23,0.59,4.03,0.12,32
17.79,24.35,1.96,1.21,3.99,2.18,22.92,0.48,3.17,0.1,45
12.34,16.88,1.9,1.2,3.89,1.87,25.1,0.33,15.29,0.07,37
14.06,18.47,3.49,1.96,6.63,1.86,24.07,0.31,4.3,0.06,42
32.58,60.34,2.12,1.27,4.28,2.22,20.83,0.31,1.97,0.06,55
37.13,68.76,2.11,1.28,4.27,2.26,20.56,0.37,3.54,0.07,54
25.9,47.96,2.03,1.26,4.08,2.06,21.33,0.25,4.42,0.05,50
33.72,62.44,2.1,1.3,4.28,2.19,20.72,0.32,4.38,0.06,60
24.06,44.55,2.1,1.3,4.22,2.09,20.93,0.24,3.12,0.04,43
25.32,46.88,2.19,1.27,4.32,1.92,20.77,0.16,5.16,0.03,45
33.86,62.7,2.05,1.12,4.01,2.15,21.57,0.33,4.19,0.06,57
33.34,61.73,1.93,1.22,3.95,1.95,22.88,0.31,3.8,0.06,64
28.37,52.54,2.03,1.22,4.09,2.07,22.9,0.32,3.23,0.06,55
24.67,45.69,1.99,1.13,3.94,1.83,22.92,0.19,3.54,0.04,44
26.7,49.45,2.02,1.21,4.03,1.85,22.17,0.2,4.31,0.04,48
20.27,37.53,2.08,1.22,4.17,1.9,20.91,0.25,4.05,0.05,47
28.69,53.14,2.05,1.3,4.21,1.9,21.3,0.26,4,0.05,43
30.38,56.26,2.06,1.23,4.17,1.83,20.81,0.26,4.46,0.05,57
33,61.11,2.07,1.24,4.19,1.88,20.85,0.33,4.06,0.07,67
28.13,52.08,3.01,1.5,5.48,1.84,21.06,0.26,3.8,0.05,76
26.75,49.53,2.02,1.32,4.17,1.77,20.99,0.17,4.74,0.03,48
27.23,50.42,2.1,1.26,4.24,1.78,21.09,0.23,4.23,0.05,59
28.27,52.35,2.08,1.24,4.19,1.79,20.96,0.16,5.17,0.03,58
18.51,34.29,2.85,2.23,5.8,1.82,21.23,0.21,4.39,0.04,45
28.02,51.88,2.7,1.9,5.37,1.83,21.19,0.26,4.5,0.05,44
18.9,34.99,2.01,1.23,4.07,1.71,22.58,0.2,3.11,0.04,34
10.46,19.36,3.14,1.8,5.77,1.61,23.79,0.1,1.9,0.02,35
18.08,33.48,1.97,1.27,4.04,1.69,23.36,0.27,1.51,0.05,32
24.3,45,2,1.2,4.03,1.61,23.08,0.17,1.99,0.03,42
23.14,42.85,2.01,1.22,4.08,1.67,22.22,0.31,1.63,0.06,54
21.37,39.58,2.03,1.31,4.18,1.73,20.81,0.38,1.8,0.08,37
28.21,52.24,2.01,1.28,4.13,1.66,21.85,0.26,1.96,0.05,53
16.96,31.41,1.99,1.23,4.06,1.62,23.23,0.22,1.62,0.04,54
23.39,43.31,1.98,1.28,4.08,1.59,23.19,0.16,1.47,0.03,48
18.2,33.71,1.99,1.18,4,1.64,23.72,0.15,1.51,0.03,48
27.52,50.97,2,1.23,4.07,1.79,23.11,0.37,1.04,0.07,41
25.83,47.83,2,1.22,4.05,1.77,22.94,0.32,1.22,0.06,66
32.71,60.59,1.96,1.23,4.01,1.74,23.14,0.39,0.81,0.08,93
29.45,54.54,1.97,1.23,4.02,1.75,23.25,0.27,1.9,0.05,51
30.93,57.28,1.98,1.24,4.03,1.8,23.11,0.3,2.34,0.06,80
30.98,57.32,5.95,2.66,10.97,2.04,24.14,0.32,2.13,0.06,58
18.55,34.35,2.01,1.23,4.06,1.89,23.44,0.12,3.24,0.03,45
21.48,39.77,2.05,1.2,4.11,1.85,23.18,0.15,2.79,0.03,35
22.87,42.35,2.01,1.23,4.09,1.99,23.55,0.31,1.91,0.06,45
39.98,74.03,2.02,1.23,4.09,2.06,23.57,0.53,1.66,0.11,60
24.63,45.61,2.08,1.26,4.22,2.02,21.13,0.31,2.39,0.06,68
20.83,38.57,2.08,1.33,4.29,2.03,21.24,0.39,1.78,0.08,37
20.72,38.37,2.07,1.26,4.19,1.99,21.35,0.33,2.63,0.07,35
,,2.06,1.28,4.21,2.19,21.33,0.28,2.36,0.06,50
29.42,54.49,2.05,1.3,4.21,2.01,21.36,0.22,3.24,0.04,49
17.93,33.21,2.02,1.28,4.14,1.9,21.33,0.3,1.7,0.06,41
